2025-09-16 14:36:38.865 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:36:38.865 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:37:37.690 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:37:38.966 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:37:38.966 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:38:37.406 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:38:38.508 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:38:38.509 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:39:37.270 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:39:38.240 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:39:38.240 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:40:37.891 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:40:38.944 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:40:38.944 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:41:38.371 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:41:39.224 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:41:39.225 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:42:37.868 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:42:39.797 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:42:39.797 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
